Mole(H)-Edge(H),Mole(C)-Edge(H),Mole(O)-Edge(H),Mole(N)-Edge(H),Mole(H)-Edge(C),Mole(C)-Edge(C),Mole(O)-Edge(C),Mole(N)-Edge(C)
1.7509007613872465,3.2849880772030975,3.196654188373665,1.962840364709032,2.5980642568049244,4.36099413120031,4.151707082549315,3.0230122360113807
1.7828592503239487,2.8448799013639814,2.190679711580149,3.0891177010627167,2.7813037948820694,3.847809581174866,3.0667503637376186,4.149299710522155
1.7828592503239487,2.8448799013639814,2.190679711580149,3.0891177010627167,2.7813037948820694,3.847809581174866,3.0667503637376186,4.149299710522155
1.7509007613872465,3.2849880772030975,3.196654188373665,1.962840364709032,2.5980642568049244,4.36099413120031,4.151707082549315,3.0230122360113807
1.7828592510663075,2.8448799012045343,2.19067970894991,3.0891177045880736,2.781303787892087,3.84780957495974,3.0667503735896653,4.149299712015395
1.4471786371562454,2.436376250165208,2.23649335127935,2.505630102155604,2.4912793884515785,3.4597349642543893,3.306154696461101,3.5804183107651903
1.4471786371562454,2.436376250165208,2.23649335127935,2.505630102155604,2.4912793884515785,3.4597349642543893,3.306154696461101,3.5804183107651903
1.8548784772381424,2.6135221376871995,2.189945663832596,4.058106258426276,2.9205308513048274,3.6451409385014397,3.1761856623160747,5.074311703566155
1.8548784772381424,2.6135221376871995,2.189945663832596,4.058106258426276,2.9205308513048274,3.6451409385014397,3.1761856623160747,5.074311703566155
1.8548784772381424,2.6135221376871995,2.189945663832596,4.058106258426276,2.9205308513048274,3.6451409385014397,3.1761856623160747,5.074311703566155
1.8548784772381424,2.6135221376871995,2.189945663832596,4.058106258426276,2.9205308513048274,3.6451409385014397,3.1761856623160747,5.074311703566155
1.8548784772381424,2.6135221376871995,2.189945663832596,4.058106258426276,2.9205308513048274,3.6451409385014397,3.1761856623160747,5.074311703566155
1.869246186206595,2.4234164887669025,1.8202798504166509,3.1589429146749413,2.899238164332455,3.4722791647283353,2.903668778367232,4.148348636359621
1.7509007674571728,3.2849880743540676,3.1966541862623186,1.9628403629581097,2.598064240894833,4.360994120087819,4.151707082847762,3.0230122323609554
1.7509007674571728,3.2849880743540676,3.1966541862623186,1.9628403629581097,2.598064240894833,4.360994120087819,4.151707082847762,3.0230122323609554
1.9458443752232963,2.2712006158845144,1.490580321228638,2.6753788596001082,2.8756986012228993,3.307135843707713,2.4879805822300822,3.7253734160804335
1.9458443857346304,2.2712006166497773,1.49058031573096,2.6753788613088285,2.8756985965272692,3.3071358488752005,2.4879805972761075,3.725373424045547
1.7828592510663075,2.8448799012045343,2.19067970894991,3.0891177045880736,2.781303787892087,3.84780957495974,3.0667503735896653,4.149299712015395
1.7828592510663075,2.8448799012045343,2.19067970894991,3.0891177045880736,2.781303787892087,3.84780957495974,3.0667503735896653,4.149299712015395
1.8548784755504313,2.613522135614699,2.189945668913909,4.058106260501891,2.920530847543394,3.645140924643936,3.176185665448666,5.0743117150384744
1.7828592503239487,2.8448799013639814,2.190679711580149,3.0891177010627167,2.7813037948820694,3.847809581174866,3.0667503637376186,4.149299710522155
1.7509007674571728,3.2849880743540676,3.1966541862623186,1.9628403629581097,2.598064240894833,4.360994120087819,4.151707082847762,3.0230122323609554
1.4471786370228252,2.4363762511038005,2.2364933493222456,2.5056300949426658,2.491279394474488,3.459734969096289,3.306154703354827,3.5804182975935728
1.4471786370228252,2.4363762511038005,2.2364933493222456,2.5056300949426658,2.491279394474488,3.459734969096289,3.306154703354827,3.5804182975935728
1.4471786370228252,2.4363762511038005,2.2364933493222456,2.5056300949426658,2.491279394474488,3.459734969096289,3.306154703354827,3.5804182975935728
1.7509007613872465,3.2849880772030975,3.196654188373665,1.962840364709032,2.5980642568049244,4.36099413120031,4.151707082549315,3.0230122360113807
1.7509007674571728,3.2849880743540676,3.1966541862623186,1.9628403629581097,2.598064240894833,4.360994120087819,4.151707082847762,3.0230122323609554
1.8548784772381424,2.6135221376871995,2.189945663832596,4.058106258426276,2.9205308513048274,3.6451409385014397,3.1761856623160747,5.074311703566155
1.7828592510663075,2.8448799012045343,2.19067970894991,3.0891177045880736,2.781303787892087,3.84780957495974,3.0667503735896653,4.149299712015395
1.7828592510663075,2.8448799012045343,2.19067970894991,3.0891177045880736,2.781303787892087,3.84780957495974,3.0667503735896653,4.149299712015395
1.9458443857346304,2.2712006166497773,1.49058031573096,2.6753788613088285,2.8756985965272692,3.3071358488752005,2.4879805972761075,3.725373424045547
1.4471786370228252,2.4363762511038005,2.2364933493222456,2.5056300949426658,2.491279394474488,3.459734969096289,3.306154703354827,3.5804182975935728
1.4471786370228252,2.4363762511038005,2.2364933493222456,2.5056300949426658,2.491279394474488,3.459734969096289,3.306154703354827,3.5804182975935728
1.4471786370228252,2.4363762511038005,2.2364933493222456,2.5056300949426658,2.491279394474488,3.459734969096289,3.306154703354827,3.5804182975935728
1.4471786370228252,2.4363762511038005,2.2364933493222456,2.5056300949426658,2.491279394474488,3.459734969096289,3.306154703354827,3.5804182975935728
1.4471786370228252,2.4363762511038005,2.2364933493222456,2.5056300949426658,2.491279394474488,3.459734969096289,3.306154703354827,3.5804182975935728
1.4471786370228252,2.4363762511038005,2.2364933493222456,2.5056300949426658,2.491279394474488,3.459734969096289,3.306154703354827,3.5804182975935728
1.869246186206595,2.4234164887669025,1.8202798504166509,3.1589429146749413,2.899238164332455,3.4722791647283353,2.903668778367232,4.148348636359621
1.8548784772381424,2.6135221376871995,2.189945663832596,4.058106258426276,2.9205308513048274,3.6451409385014397,3.1761856623160747,5.074311703566155
1.7509007613872465,3.2849880772030975,3.196654188373665,1.962840364709032,2.5980642568049244,4.36099413120031,4.151707082549315,3.0230122360113807
1.7509007613872465,3.2849880772030975,3.196654188373665,1.962840364709032,2.5980642568049244,4.36099413120031,4.151707082549315,3.0230122360113807
1.7828592503239487,2.8448799013639814,2.190679711580149,3.0891177010627167,2.7813037948820694,3.847809581174866,3.0667503637376186,4.149299710522155
1.7828592503239487,2.8448799013639814,2.190679711580149,3.0891177010627167,2.7813037948820694,3.847809581174866,3.0667503637376186,4.149299710522155
1.7509007613872465,3.2849880772030975,3.196654188373665,1.962840364709032,2.5980642568049244,4.36099413120031,4.151707082549315,3.0230122360113807
1.7509007613872465,3.2849880772030975,3.196654188373665,1.962840364709032,2.5980642568049244,4.36099413120031,4.151707082549315,3.0230122360113807
1.4471786371562454,2.436376250165208,2.23649335127935,2.505630102155604,2.4912793884515785,3.4597349642543893,3.306154696461101,3.5804183107651903
1.9458443752232963,2.2712006158845144,1.490580321228638,2.6753788596001082,2.8756986012228993,3.307135843707713,2.4879805822300822,3.7253734160804335
1.8548784772381424,2.6135221376871995,2.189945663832596,4.058106258426276,2.9205308513048274,3.6451409385014397,3.1761856623160747,5.074311703566155
1.8548784755504313,2.613522135614699,2.189945668913909,4.058106260501891,2.920530847543394,3.645140924643936,3.176185665448666,5.0743117150384744
1.9458443857346304,2.2712006166497773,1.49058031573096,2.6753788613088285,2.8756985965272692,3.3071358488752005,2.4879805972761075,3.725373424045547
1.9458443857346304,2.2712006166497773,1.49058031573096,2.6753788613088285,2.8756985965272692,3.3071358488752005,2.4879805972761075,3.725373424045547
1.7509007674571728,3.2849880743540676,3.1966541862623186,1.9628403629581097,2.598064240894833,4.360994120087819,4.151707082847762,3.0230122323609554
1.4471786370228252,2.4363762511038005,2.2364933493222456,2.5056300949426658,2.491279394474488,3.459734969096289,3.306154703354827,3.5804182975935728
1.4471786370228252,2.4363762511038005,2.2364933493222456,2.5056300949426658,2.491279394474488,3.459734969096289,3.306154703354827,3.5804182975935728
1.869246186206595,2.4234164887669025,1.8202798504166509,3.1589429146749413,2.899238164332455,3.4722791647283353,2.903668778367232,4.148348636359621
1.8548784772381424,2.6135221376871995,2.189945663832596,4.058106258426276,2.9205308513048274,3.6451409385014397,3.1761856623160747,5.074311703566155
1.8548784772381424,2.6135221376871995,2.189945663832596,4.058106258426276,2.9205308513048274,3.6451409385014397,3.1761856623160747,5.074311703566155
1.9458443857346304,2.2712006166497773,1.49058031573096,2.6753788613088285,2.8756985965272692,3.3071358488752005,2.4879805972761075,3.725373424045547
1.9458443752232963,2.2712006158845144,1.490580321228638,2.6753788596001082,2.8756986012228993,3.307135843707713,2.4879805822300822,3.7253734160804335
1.7509007674571728,3.2849880743540676,3.1966541862623186,1.9628403629581097,2.598064240894833,4.360994120087819,4.151707082847762,3.0230122323609554
1.9458443752232963,2.2712006158845144,1.490580321228638,2.6753788596001082,2.8756986012228993,3.307135843707713,2.4879805822300822,3.7253734160804335
1.4471786371562454,2.436376250165208,2.23649335127935,2.505630102155604,2.4912793884515785,3.4597349642543893,3.306154696461101,3.5804183107651903
1.8692461818064157,2.4234164916689105,1.820279857343942,3.158942915287661,2.8992381650104995,3.472279178043836,2.9036687842271216,4.148348628679103
1.8692461818064157,2.4234164916689105,1.820279857343942,3.158942915287661,2.8992381650104995,3.472279178043836,2.9036687842271216,4.148348628679103
